main_category,subcategory,master_name,review_amount,rating,size,details,True to size (size_ag),Too Big (size_ag),Small (size_ag),Too Small (size_ag),Not specified (size_ag),Big (size_ag),Not specified (experience),Quality (experience),Stylish (experience),Comfortable (experience),Verified Buyer,Verified Reviewer,Unverified
Woman's,Womens-sandals,Lumina,8,4.9,Big,".5 inch heel height; Suede; Textile lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size down a half-size; Imported",3.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,3.0,3.0,7.0,0.0,1.0
Woman's,Womens-sandals,Linear,18,4.9,True to size,"1 inch heel height; Suede upper material with hardware; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",10.0,4.0,1.0,0.0,2.0,1.0,13.0,3.0,5.0,4.0,11.0,4.0,3.0
Woman's,Womens-sandals,Bigschmonj,16,4.3,Big,"2 inch heel height; Synthetic upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",7.0,3.0,0.0,1.0,2.0,3.0,4.0,8.0,9.0,10.0,14.0,2.0,0.0
Woman's,Womens-sandals,Bigmona,343,4.7,True to size,"Flatform sandal; Ankle strap with stay-put and turnlock closure; Adjustable stay-put front strap; Molded footbed; 2 inch heel height; Raffia and synthetic upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",55.0,15.0,20.0,5.0,10.0,3.0,76.0,18.0,25.0,23.0,100.0,4.0,4.0
Woman's,Womens-sandals,Bigschmona,40,4.5,True to size,"2 inch heel height; Suede upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",21.0,7.0,6.0,2.0,3.0,1.0,30.0,6.0,10.0,8.0,37.0,0.0,3.0
Woman's,Womens-sandals,Tracie,12,4.8,Big,2 inch heel height; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,9.0,3.0,0.0,0.0,0.0,0.0,7.0,4.0,5.0,3.0,11.0,0.0,1.0
Woman's,Womens-sandals,Mayven,359,4.0,True to size,"Suede flatform slide; Slip-on style with adjustable top strap; Cutout details on wide front strap; Hook-and-loop adjustable top strap; Molded footbed; 1.25 inch heel height; Suede and leather upper mateiral; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: runs small, size up a half size; Imported",55.0,14.0,15.0,8.0,12.0,4.0,85.0,10.0,18.0,15.0,95.0,5.0,8.0
Woman's,Womens-sandals,Kiwi,7,4.6,Big,"2.75 inch heel height; Suede upper material; Synthetic lining; Suede sock; Synthetic sole; Fit tip: If you are in between sizes, size down a half-size; Imported",4.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,2.0,1.0,6.0,0.0,1.0
Woman's,Womens-sandals,Kaya,57,4.5,True to size,"Slide sandal; Slip-on style; .5 inch heel height; Leather upper material; Synthetic lining; Synthetic sole; Fit tip: If you are in between sizes, size up a half-size; Imported",34.0,7.0,2.0,1.0,6.0,4.0,53.0,0.0,1.0,0.0,53.0,0.0,1.0
Woman's,Womens-sandals,Cento,18,4.4,True to size,"1.25 inch heel height; Suede upper material; Synthetic lining; Synthetic sock; Synthetic sole; Flexible wood bottom for added comfort; Fit tip: If you are in between sizes, size up a half-size; Imported",11.0,0.0,4.0,0.0,3.0,0.0,10.0,6.0,7.0,5.0,15.0,0.0,3.0
Woman's,Womens-sandals,Beachy,32,4.4,True to size,Square toe flatform slide sandal; Slip-on style; Woven raffia wrapped sole; 1.5 inch heel height; Raffia upper material; Textile lining; Vegan leather sock; Synthetic sole; Imported,18.0,4.0,3.0,2.0,3.0,2.0,30.0,0.0,1.0,1.0,29.0,0.0,3.0
Woman's,Womens-sandals,Maliyah,5,5.0,Big,.5 inch heel height; Leather upper material; Synthetic lining; Synthetic sock; Synthetic sole; Imported,3.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,4.0,1.0,0.0
Woman's,Womens-sandals,Klio,22,4.9,True to size,.5 inch heel height; Synthetic upper material with ornaments; Synthetic lining; Synthetic sock; Synthetic sole; Imported,16.0,2.0,0.0,0.0,2.0,2.0,18.0,2.0,3.0,1.0,20.0,0.0,2.0
Woman's,Womens-sandals,Cayman,10,4.9,True to size,4.25 inch heel height; 1.5 inch platform; PVC upper material; Unlined; Synthetic sock; Synthetic sole; Imported,6.0,1.0,2.0,0.0,0.0,1.0,6.0,2.0,4.0,2.0,10.0,0.0,0.0
Woman's,Womens-sandals,Jellie,26,4.1,Small,".5 inch heel height; Synthetic upper material; Synthetic lining; Synthetic sock; Synthetic sole; Fit tip: If you are in between sizes, size down a half-size; Imported",2.0,1.0,12.0,8.0,3.0,0.0,21.0,2.0,5.0,0.0,20.0,2.0,4.0
