review_id,subcategory,master_name,date,score,size,experience,verified,header,text,review_length,main_category
1,Womens-sandals,Lumina,18/06/2025,5 star rating,Big,"Value, Stylish, Comfortable, Quality",Verified Buyer,Pretty. Size down if you're in bet sizes.,"I am in between sizes 6. 5 -7US. I
Got the 7 first and it had a good half inch showing on the heel of my foot so had to send them back in exchange for a 6. 5 and they fit perfect. So chic and classy!",199.0,Woman's
2,Womens-sandals,Lumina,13/06/2025,5 star rating,True to size,"Quality, Comfortable, Stylish",Verified Buyer,Beautiful,I love these shoe so much I ordered two colors,46.0,Woman's
3,Womens-sandals,Lumina,13/06/2025,5 star rating,Too Big,"Comfortable, Value, Quality, Stylish",Verified Buyer,Beautiful,"Love them, ordered two colors",29.0,Woman's
4,Womens-sandals,Lumina,21/05/2025,4 star rating,True to size,36-45,Unverified,Comfortable,Cute but you just hear a loud food when walking,47.0,Woman's
5,Womens-sandals,Lumina,23/02/2025,5 star rating,Big,Not specified,Verified Buyer,Maybe size down half a size,"I have a really hard time finding good slides that aren't too narrow, these are perfect!! I'm returning for half a size smaller though, there's a little extra length in the footbed, but no complaints otherwise.",210.0,Woman's
6,Womens-sandals,Lumina,22/02/2025,5 star rating,Not specified,Not specified,Verified Buyer,Beautiful,"These sandals are classy and simple. Fit perfectly TTS, love!",61.0,Woman's
7,Womens-sandals,Lumina,21/03/2025,5 star rating,Big,Not specified,Verified Buyer,Cuties,Very stylish,12.0,Woman's
8,Womens-sandals,Lumina,01/03/2025,5 star rating,True to size,Not specified,Verified Buyer,To cute,Beautiful,9.0,Woman's
9,Womens-sandals,Linear,25/05/2025,4 star rating,Big,Stylish,Verified Buyer,I love these sandals! Very,"I love these sandals! Very stylish, can be dresses up or down. They do, however, run a little small. I'm a size 6 and barely made it. They don't come in half sizes, which is disappointing. Also, if you have a wide foot, the footbed may rub or press on the sides of your feet. I'm hoping once they break",302.0,Woman's
10,Womens-sandals,Linear,05/06/2025,5 star rating,True to size,"Stylish, Quality, Comfortable, Value",Verified Reviewer,Great summer sandal,Love this sandal very comfortable received lots of compliments,62.0,Woman's
11,Womens-sandals,Linear,15/05/2025,5 star rating,True to size,Not specified,Verified Buyer,Love these,"Very stylish, dress up or down. Watch wearing wide leg pants with them they will get a little dirt.",99.0,Woman's
12,Womens-sandals,Linear,16/04/2025,5 star rating,True to size,Not specified,Verified Buyer,"This sandal was everything, you","This sandal was everything, you could dress it up or down. Got so many compliments and it was true to the size.",111.0,Woman's
13,Womens-sandals,Linear,16/04/2025,5 star rating,True to size,Not specified,Verified Buyer,Must have,An absolute must-buy! Super versatile — you can dress them up or down with ease. They’re incredibly comfortable too. Highly recommend!,134.0,Woman's
14,Womens-sandals,Linear,10/05/2025,5 star rating,True to size,Not specified,Unverified,Buy them now!,"These are great sandals for the summer! I was skeptical at first because I have small, narrow feet. But it fits perfect! The straps are adjustable that I can easily tighten. Soo worth it!",187.0,Woman's
