,detected_shoe_type,Aspects,Count
0,boots,Negative,85
1,flats,Negative,13
2,heels,Negative,72
3,loafers,Negative,7
4,mules,Negative,7
5,platforms,Negative,4
6,sandals,Negative,58
7,slides,Negative,5
8,sneakers,Negative,23
9,wedges,Negative,1
10,boots,Neutral,142
11,flats,Neutral,9
12,heels,Neutral,58
13,loafers,Neutral,7
14,mules,Neutral,2
15,platforms,Neutral,2
16,sandals,Neutral,73
17,slides,Neutral,18
18,sneakers,Neutral,22
19,wedges,Neutral,0
20,boots,Positive,1957
21,flats,Positive,141
22,heels,Positive,597
23,loafers,Positive,55
24,mules,Positive,24
25,platforms,Positive,34
26,sandals,Positive,654
27,slides,Positive,123
28,sneakers,Positive,280
29,wedges,Positive,11
