              word  count
0             size   3929
1             love   3872
2      comfortable   3302
3            shoes   2159
4             cute   2102
5              fit   1740
6             shoe   1661
7            great   1571
8             wear   1550
9          perfect   1305
10           boots   1149
11           small   1014
12            true    998
13           super    971
14            look    968
15            like    911
16            just    863
17         stylish    846
18       beautiful    814
19           color    803
20            feet    803
21           comfy    719
22         quality    713
23          little    686
24            pair    684
25            good    660
26             got    653
27         ordered    640
28          bought    586
29            heel    584
30          really    579
31            nice    554
32             run    551
33            foot    519
34            half    509
35           style    505
36     compliments    499
37            boot    494
38            wide    491
39             big    475
40           tight    439
41          narrow    426
42      absolutely    419
43             bit    415
44       recommend    415
45              10    414
46      definitely    389
47           black    381
48         sandals    378
49            fits    376
50             don    375
51          madden    374
52            walk    373
53            time    373
54           steve    372
55         leather    362
56              ve    361
57       perfectly    354
58            feel    353
59           heels    342
60            wore    332
61             day    329
62         looking    324
63           looks    324
64           dress    316
65             did    316
66          return    305
67         usually    303
68          pretty    300
69       purchased    292
70           loved    289
71             toe    287
72             bag    284
73           order    284
74         wearing    279
75            runs    276
76           strap    262
77           right    259
78            need    256
79             buy    254
80            long    252
81         amazing    252
82        purchase    251
83            didn    250
84             way    249
85            easy    249
86            soft    245
87   uncomfortable    243
88          height    242
89            make    239
90          colors    238
91            worn    237
92            work    224
93        gorgeous    223
94           price    222
95          outfit    221
96            wait    219
97          better    218
98            wish    217
99            high    210
100        walking    210
101          socks    210
102           went    209
103         sizing    207
104       received    204
105          happy    202
106           toes    202
107          going    201
108        reviews    200
109          sized    198
110        comfort    198
111             11    192
112         summer    191
113           sexy    187
114       normally    186
115       sneakers    184
116            lot    183
117            new    181
118          jeans    178
119          brown    177
120         bigger    173
121          ankle    169
122         wanted    169
123         sandal    168
124          think    166
125          white    166
126       material    164
127         calves    162
128           calf    162
129           want    159
130           best    159
131          break    159
132      extremely    158
133           hard    157
134          night    154
135           glad    153
136        exactly    152
137       daughter    151
138            say    146
139         person    145
140      different    144
141           sure    140
142         classy    140
143          worth    140
144            red    139
145         casual    139
146          loves    139
147         normal    138
148       favorite    137
149        smaller    135
150           ones    134
151           snug    132
152  unfortunately    131
153           goes    130
154          hours    128
155         highly    127
156             sm    127
157        getting    126
158         straps    125
159       expected    124
160            box    124
161          makes    123
162          sizes    123
163           came    122
164        wedding    120
165         needed    120
166           able    119
167        thought    119
168             ll    117
169         couldn    115
170          heavy    115
171         design    114
172           room    112
173           hurt    111
174          short    110
175        outfits    109
176      versatile    108
177        overall    108
178          pairs    106
179       actually    105
180       slightly    101
181          stiff    101
182          suede    100
183          purse    100
184         second    100
185       adorable     99
186   disappointed     98
187          feels     98
188           legs     97
189       exchange     96
190        stretch     95
191           sole     95
192          tried     94
193          years     93
194          wider     93
195            fun     92
196       platform     91
197       returned     91
198        awesome     91
199           felt     91
