main_category,subcategory,master_name,full_product_name,product_link,price,color
Woman's,Womens-sandals,Lumina,Lumina Brown suede,https://www.stevemadden.com/collections/womens-sandals/products/lumina-brown-suede,79.95,Brown suede
Woman's,Womens-sandals,Linear,Linear Taupe suede,https://www.stevemadden.com/collections/womens-sandals/products/linear-taupe-suede,109.95,Taupe suede
Woman's,Womens-sandals,Bigschmonj,Bigschmonj Natural,https://www.stevemadden.com/collections/womens-sandals/products/bigschmonj-natural,59.95,Natural
Woman's,Womens-sandals,Bigmona,Bigmona Natural raffia,https://www.stevemadden.com/collections/womens-sandals/products/bigmona-natural-raffia,99.95,Natural raffia
Woman's,Womens-sandals,Bigschmona,Bigschmona Taupe suede,https://www.stevemadden.com/collections/womens-sandals/products/bigschmona-taupe-suede,99.95,Taupe suede
Woman's,Womens-sandals,Tracie,Tracie White leather,https://www.stevemadden.com/collections/womens-sandals/products/tracie-white-leather,99.95,White leather
Woman's,Womens-sandals,Mayven,Mayven Camel suede,https://www.stevemadden.com/collections/womens-sandals/products/mayven-camel-suede,89.95,Camel suede
Woman's,Womens-sandals,Mayven,Mayven Black leather,https://www.stevemadden.com/collections/womens-sandals/products/mayven-black-leather,89.95,Black leather
Woman's,Womens-sandals,Bigschmonj,Bigschmonj Black,https://www.stevemadden.com/collections/womens-sandals/products/bigschmonj-black,59.95,Black
Woman's,Womens-sandals,Bigschmona,Bigschmona Clear,https://www.stevemadden.com/collections/womens-sandals/products/bigschmona-clear,99.95,Clear
Woman's,Womens-sandals,Kiwi,Kiwi Taupe suede,https://www.stevemadden.com/collections/womens-sandals/products/kiwi-taupe-suede,129.95,Taupe suede
Woman's,Womens-sandals,Mayven,Mayven Natural raffia,https://www.stevemadden.com/collections/womens-sandals/products/mayven-natural-raffia,89.95,Natural raffia
Woman's,Womens-sandals,Mayven,Mayven Tan nubuck,https://www.stevemadden.com/collections/womens-sandals/products/mayven-tan-nubuck,89.95,Tan nubuck
Woman's,Womens-sandals,Kaya,Kaya Black leather,https://www.stevemadden.com/collections/womens-sandals/products/kaya-black-leather,79.95,Black leather
Woman's,Womens-sandals,Cento,Cento Chestnut suede,https://www.stevemadden.com/collections/womens-sandals/products/cento-chestnut-suede,99.95,Chestnut suede
Woman's,Womens-sandals,Beachy,Beachy Natural,https://www.stevemadden.com/collections/womens-sandals/products/beachy-natural,89.95,Natural
Woman's,Womens-sandals,Maliyah,Maliyah Natural leather,https://www.stevemadden.com/collections/womens-sandals/products/maliyah-natural-leather,69.95,Natural leather
Woman's,Womens-sandals,Klio,Klio Black multi,https://www.stevemadden.com/collections/womens-sandals/products/klio-black-multi,89.95,Black multi
Woman's,Womens-sandals,Cayman,Cayman Clear,https://www.stevemadden.com/collections/womens-sandals/products/cayman-clear,109.95,Clear
Woman's,Womens-sandals,Lumina,Lumina Taupe suede,https://www.stevemadden.com/collections/womens-sandals/products/lumina-taupe-suede,79.95,Taupe suede
Woman's,Womens-sandals,Jellie,Jellie Bone,https://www.stevemadden.com/collections/womens-sandals/products/jellie-bone,49.95,Bone
Woman's,Womens-sandals,Dipsy,Dipsy Natural raffia,https://www.stevemadden.com/collections/womens-sandals/products/dipsy-natural-raffia,89.95,Natural raffia
Woman's,Womens-sandals,Bigschmona,Bigschmona Black black suede,https://www.stevemadden.com/collections/womens-sandals/products/bigschmona-black-black-suede,99.95,Black black suede
Woman's,Womens-sandals,Mayven,Mayven Red leather,https://www.stevemadden.com/collections/womens-sandals/products/mayven-red-leather,89.95,Red leather
Woman's,Womens-sandals,Jellie,Jellie Black,https://www.stevemadden.com/collections/womens-sandals/products/jellie-black,49.95,Black
Woman's,Womens-sandals,Kiwi,Kiwi Black suede,https://www.stevemadden.com/collections/womens-sandals/products/kiwi-black-suede,129.95,Black suede
Woman's,Womens-sandals,Tango,Tango Black,https://www.stevemadden.com/collections/womens-sandals/products/tango-black,79.95,Black
Woman's,Womens-sandals,Hadyn-m,Hadyn-m Pink multi,https://www.stevemadden.com/collections/womens-sandals/products/hadyn-m-pink-multi,79.95,Pink multi
Woman's,Womens-sandals,Slinky30,Slinky30 Black,https://www.stevemadden.com/collections/womens-sandals/products/slinky30-black,89.95,Black
Woman's,Womens-sandals,Hadyn,Hadyn Black leather,https://www.stevemadden.com/collections/womens-sandals/products/hadyn-black-leather,59.95,Black leather
Woman's,Womens-sandals,Marlena,Marlena Sand suede,https://www.stevemadden.com/collections/womens-sandals/products/marlena-sand-suede,109.95,Sand suede
Woman's,Womens-sandals,Hadyn,Hadyn Tortoise,https://www.stevemadden.com/collections/womens-sandals/products/hadyn-tortoise,59.95,Tortoise
Woman's,Womens-sandals,Arwen,Arwen Brown leather,https://www.stevemadden.com/collections/womens-sandals/products/arwen-brown-leather,99.95,Brown leather
Woman's,Womens-sandals,Hadyn,Hadyn Cognac leather,https://www.stevemadden.com/collections/womens-sandals/products/hadyn-cognac-leather,59.95,Cognac leather
Woman's,Womens-sandals,Bigschmonj,Bigschmonj Olive,https://www.stevemadden.com/collections/womens-sandals/products/bigschmonj-olive,59.95,Olive
Woman's,Womens-sandals,Tracie,Tracie Chestnut suede,https://www.stevemadden.com/collections/womens-sandals/products/tracie-chestnut-suede,99.95,Chestnut suede
Woman's,Womens-sandals,Maliyah,Maliyah Black leather,https://www.stevemadden.com/collections/womens-sandals/products/maliyah-black-leather,69.95,Black leather
Woman's,Womens-sandals,Odyssey,Odyssey Black leather,https://www.stevemadden.com/collections/womens-sandals/products/odyssey-black-leather,99.95,Black leather
Woman's,Womens-sandals,Tracie-j,Tracie-j Tan,https://www.stevemadden.com/collections/womens-sandals/products/tracie-j-tan,59.95,Tan
Woman's,Womens-sandals,Mona,Mona Black leather,https://www.stevemadden.com/collections/womens-sandals/products/mona-black-leather,89.95,Black leather
Woman's,Womens-sandals,Sunkissed,Sunkissed Raffia,https://www.stevemadden.com/collections/womens-sandals/products/sunkissed-raffia,109.95,Raffia
Woman's,Womens-sandals,Hadyn,Hadyn White leather,https://www.stevemadden.com/collections/womens-sandals/products/hadyn-white-leather,59.95,White leather
Woman's,Womens-sandals,Tracie-j,Tracie-j Pink,https://www.stevemadden.com/collections/womens-sandals/products/tracie-j-pink,59.95,Pink
Woman's,Womens-sandals,Mona,Mona Beige leather,https://www.stevemadden.com/collections/womens-sandals/products/mona-beige-leather,89.95,Beige leather
Woman's,Womens-sandals,Calissi,Calissi Black leather,https://www.stevemadden.com/collections/womens-sandals/products/calissi-black-leather,79.95,Black leather
Woman's,Womens-sandals,Bigmona,Bigmona Black leather,https://www.stevemadden.com/collections/womens-sandals/products/bigmona-black-leather,99.95,Black leather
Woman's,Womens-sandals,Linear,Linear Black suede,https://www.stevemadden.com/collections/womens-sandals/products/linear-black-suede,109.95,Black suede
Woman's,Womens-sandals,Mona,Mona Bone leather,https://www.stevemadden.com/collections/womens-sandals/products/mona-bone-leather,89.95,Bone leather
Woman's,Womens-sandals,Brazinn,Brazinn Tan leather,https://www.stevemadden.com/collections/womens-sandals/products/brazinn-tan-leather,89.95,Tan leather
Woman's,Womens-sandals,Thona,Thona Chestnut suede,https://www.stevemadden.com/collections/womens-sandals/products/thona-chestnut-suede,99.95,Chestnut suede
Woman's,Womens-sandals,Mona,Mona Gold multi,https://www.stevemadden.com/collections/womens-sandals/products/mona-gold-multi,39.99,Gold multi
Woman's,Womens-sandals,Hadyn-m,Hadyn-m Cream multi,https://www.stevemadden.com/collections/womens-sandals/products/hadyn-m-cream-multi,79.95,Cream multi
Woman's,Womens-sandals,Beachy-w,Beachy-w Cream multi,https://www.stevemadden.com/collections/womens-sandals/products/beachy-w-cream-multi,99.95,Cream multi
Woman's,Womens-sandals,Thona,Thona Black suede,https://www.stevemadden.com/collections/womens-sandals/products/thona-black-suede,99.95,Black suede
