review_id,subcategory,master_name,date,score,size,experience,verified,header,text,review_length,main_category,bert_sentiment,bert_score,mismatch,detected_aspects,topic,topic_prob
1,Womens-sandals,Lumina,18/06/2025,5.0,Big,"Value, Stylish, Comfortable, Quality",Verified Buyer,Pretty. Size down if you're in bet sizes.,"I am in between sizes 6. 5 -7US. I
Got the 7 first and it had a good half inch showing on the heel of my foot so had to send them back in exchange for a 6. 5 and they fit perfect. So chic and classy!",199.0,Woman's,5.0,0.6042754054069519,False,"['size_and_fit', 'style_and_appearance', 'type_of_shoe', 'purchase_experience']",1,1.0
2,Womens-sandals,Lumina,13/06/2025,5.0,True to size,"Quality, Comfortable, Stylish",Verified Buyer,Beautiful,I love these shoe so much I ordered two colors,46.0,Woman's,5.0,0.8914965391159058,False,"['style_and_appearance', 'type_of_shoe', 'purchase_experience']",11,1.0
3,Womens-sandals,Lumina,13/06/2025,5.0,Too Big,"Comfortable, Value, Quality, Stylish",Verified Buyer,Beautiful,"Love them, ordered two colors",29.0,Woman's,5.0,0.8206934332847595,False,"['style_and_appearance', 'purchase_experience']",43,0.650780283324246
4,Womens-sandals,Lumina,21/05/2025,4.0,True to size,36-45,Unverified,Comfortable,Cute but you just hear a loud food when walking,47.0,Woman's,3.0,0.4751231074333191,True,"['style_and_appearance', 'wearability']",68,0.2861581133636119
5,Womens-sandals,Lumina,23/02/2025,5.0,Big,Not specified,Verified Buyer,Maybe size down half a size,"I have a really hard time finding good slides that aren't too narrow, these are perfect!! I'm returning for half a size smaller though, there's a little extra length in the footbed, but no complaints otherwise.",210.0,Woman's,5.0,0.6735361218452454,False,"['size_and_fit', 'purchase_experience', 'meta_terms']",31,0.32098248626734294
6,Womens-sandals,Lumina,22/02/2025,5.0,Not specified,Not specified,Verified Buyer,Beautiful,"These sandals are classy and simple. Fit perfectly TTS, love!",61.0,Woman's,5.0,0.9298454523086548,False,"['size_and_fit', 'style_and_appearance', 'type_of_shoe', 'purchase_experience']",3,1.0
9,Womens-sandals,Linear,25/05/2025,4.0,Big,Stylish,Verified Buyer,I love these sandals! Very,"I love these sandals! Very stylish, can be dresses up or down. They do, however, run a little small. I'm a size 6 and barely made it. They don't come in half sizes, which is disappointing. Also, if you have a wide foot, the footbed may rub or press on the sides of your feet. I'm hoping once they break",302.0,Woman's,4.0,0.6701381802558899,False,"['size_and_fit', 'comfort', 'style_and_appearance', 'type_of_shoe', 'purchase_experience']",3,1.0
10,Womens-sandals,Linear,05/06/2025,5.0,True to size,"Stylish, Quality, Comfortable, Value",Verified Reviewer,Great summer sandal,Love this sandal very comfortable received lots of compliments,62.0,Woman's,5.0,0.7808338403701782,False,"['comfort', 'type_of_shoe', 'purchase_experience', 'meta_terms']",8,1.0
11,Womens-sandals,Linear,15/05/2025,5.0,True to size,Not specified,Verified Buyer,Love these,"Very stylish, dress up or down. Watch wearing wide leg pants with them they will get a little dirt.",99.0,Woman's,4.0,0.5313076376914978,True,"['size_and_fit', 'style_and_appearance', 'wearability']",-1,0.0
12,Womens-sandals,Linear,16/04/2025,5.0,True to size,Not specified,Verified Buyer,"This sandal was everything, you","This sandal was everything, you could dress it up or down. Got so many compliments and it was true to the size.",111.0,Woman's,5.0,0.847998321056366,False,"['size_and_fit', 'style_and_appearance', 'type_of_shoe']",8,1.0
